,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),uid,month
53,5.5,2.3,4.0,1.3,53,Jan
52,6.9,3.1,4.9,1.5,52,Jan
131,7.9,3.8,6.4,2.0,131,Febb
99,5.7,2.8,4.1,1.3,99,Febb
84,5.4,3.0,4.5,1.5,84,Febb
46,5.1,3.8,1.6,0.2,46,Jan
111,6.4,2.7,5.3,1.9,111,Febb
69,5.6,2.5,3.9,1.1,69,Jan
56,6.3,3.3,4.7,1.6,56,Jan
22,4.6,3.6,1.0,0.2,22,Jan
61,5.9,3.0,4.2,1.5,61,Jan
66,5.6,3.0,4.5,1.5,66,Jan
30,4.8,3.1,1.6,0.2,30,Jan
34,4.9,3.1,1.5,0.2,34,Jan
9,4.9,3.1,1.5,0.1,9,Jan
10,5.4,3.7,1.5,0.2,10,Jan
80,5.5,2.4,3.8,1.1,80,Febb
19,5.1,3.8,1.5,0.3,19,Jan
11,4.8,3.4,1.6,0.2,11,Jan
62,6.0,2.2,4.0,1.0,62,Jan
6,4.6,3.4,1.4,0.3,6,Jan
102,7.1,3.0,5.9,2.1,102,Febb
115,6.4,3.2,5.3,2.3,115,Febb
43,5.0,3.5,1.6,0.6,43,Jan
37,4.9,3.6,1.4,0.1,37,Jan
44,5.1,3.8,1.9,0.4,44,Jan
74,6.4,2.9,4.3,1.3,74,Jan
135,7.7,3.0,6.1,2.3,135,Febb
50,7.0,3.2,4.7,1.4,50,Jan
1,4.9,3.0,1.4,0.2,1,Jan
147,6.5,3.0,5.2,2.0,147,Febb
106,4.9,2.5,4.5,1.7,106,Febb
65,6.7,3.1,4.4,1.4,65,Jan
109,7.2,3.6,6.1,2.5,109,Febb
72,6.3,2.5,4.9,1.5,72,Jan
130,7.4,2.8,6.1,1.9,130,Febb
97,6.2,2.9,4.3,1.3,97,Febb
16,5.4,3.9,1.3,0.4,16,Jan
73,6.1,2.8,4.7,1.2,73,Jan
60,5.0,2.0,3.5,1.0,60,Jan
0,5.1,3.5,1.4,0.2,0,Jan
57,4.9,2.4,3.3,1.0,57,Jan
79,5.7,2.6,3.5,1.0,79,Febb
21,5.1,3.7,1.5,0.4,21,Jan
126,6.2,2.8,4.8,1.8,126,Febb
13,4.3,3.0,1.1,0.1,13,Jan
145,6.7,3.0,5.2,2.3,145,Febb
127,6.1,3.0,4.9,1.8,127,Febb
138,6.0,3.0,4.8,1.8,138,Febb
117,7.7,3.8,6.7,2.2,117,Febb
5,5.4,3.9,1.7,0.4,5,Jan
49,5.0,3.3,1.4,0.2,49,Jan
92,5.8,2.6,4.0,1.2,92,Febb
88,5.6,3.0,4.1,1.3,88,Febb
81,5.5,2.4,3.7,1.0,81,Febb
76,6.8,2.8,4.8,1.4,76,Febb
118,7.7,2.6,6.9,2.3,118,Febb
128,6.4,2.8,5.6,2.1,128,Febb
24,4.8,3.4,1.9,0.2,24,Jan
129,7.2,3.0,5.8,1.6,129,Febb
4,5.0,3.6,1.4,0.2,4,Jan
89,5.5,2.5,4.0,1.3,89,Febb
142,5.8,2.7,5.1,1.9,142,Febb
55,5.7,2.8,4.5,1.3,55,Jan
58,6.6,2.9,4.6,1.3,58,Jan
32,5.2,4.1,1.5,0.1,32,Jan
45,4.8,3.0,1.4,0.3,45,Jan
8,4.4,2.9,1.4,0.2,8,Jan
70,5.9,3.2,4.8,1.8,70,Jan
112,6.8,3.0,5.5,2.1,112,Febb
90,5.5,2.6,4.4,1.2,90,Febb
104,6.5,3.0,5.8,2.2,104,Febb
27,5.2,3.5,1.5,0.2,27,Jan
87,6.3,2.3,4.4,1.3,87,Febb
25,5.0,3.0,1.6,0.2,25,Jan
100,6.3,3.3,6.0,2.5,100,Febb
125,7.2,3.2,6.0,1.8,125,Febb
133,6.3,2.8,5.1,1.5,133,Febb
68,6.2,2.2,4.5,1.5,68,Jan
64,5.6,2.9,3.6,1.3,64,Jan
149,5.9,3.0,5.1,1.8,149,Febb
31,5.4,3.4,1.5,0.4,31,Jan
67,5.8,2.7,4.1,1.0,67,Jan
119,6.0,2.2,5.0,1.5,119,Febb
108,6.7,2.5,5.8,1.8,108,Febb
122,7.7,2.8,6.7,2.0,122,Febb
36,5.5,3.5,1.3,0.2,36,Jan
143,6.8,3.2,5.9,2.3,143,Febb
124,6.7,3.3,5.7,2.1,124,Febb
144,6.7,3.3,5.7,2.5,144,Febb
78,6.0,2.9,4.5,1.5,78,Febb
95,5.7,3.0,4.2,1.2,95,Febb
103,6.3,2.9,5.6,1.8,103,Febb
39,5.1,3.4,1.5,0.2,39,Jan
98,5.1,2.5,3.0,1.1,98,Febb
71,6.1,2.8,4.0,1.3,71,Jan
116,6.5,3.0,5.5,1.8,116,Febb
3,4.6,3.1,1.5,0.2,3,Jan
14,5.8,4.0,1.2,0.2,14,Jan
137,6.4,3.1,5.5,1.8,137,Febb
51,6.4,3.2,4.5,1.5,51,Jan
114,5.8,2.8,5.1,2.4,114,Febb
7,5.0,3.4,1.5,0.2,7,Jan
38,4.4,3.0,1.3,0.2,38,Jan
91,6.1,3.0,4.6,1.4,91,Febb
63,6.1,2.9,4.7,1.4,63,Jan
132,6.4,2.8,5.6,2.2,132,Febb
123,6.3,2.7,4.9,1.8,123,Febb
94,5.6,2.7,4.2,1.3,94,Febb
146,6.3,2.5,5.0,1.9,146,Febb
40,5.0,3.5,1.3,0.3,40,Jan
26,5.0,3.4,1.6,0.4,26,Jan
17,5.1,3.5,1.4,0.3,17,Jan
105,7.6,3.0,6.6,2.1,105,Febb
28,5.2,3.4,1.4,0.2,28,Jan
113,5.7,2.5,5.0,2.0,113,Febb
139,6.9,3.1,5.4,2.1,139,Febb
86,6.7,3.1,4.7,1.5,86,Febb
136,6.3,3.4,5.6,2.4,136,Febb
121,5.6,2.8,4.9,2.0,121,Febb
